parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
xantoma,"['MEDICINA  --  alterazione cutanea dovuta a infiltrazione di sostanze lipidiche nella pelle, con formazione di chiazze, più o meno rilevate, di un caratteristico colore giallastro']","['xan', 'to', 'ma']",xantòma, /ksanˈtɔma/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantoma100
xantomatoso,['MEDICINA  --  relativo a xantoma; caratterizzato dalla presenza di xantomi multipli alterazione cutanea xantomatosa'],"['xan', 'to', 'ma', 'to', 'so']",xantomatòso," /ksantomaˈtɔso/, /ksantomaˈtozo/",['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantomatoso100
xantone,"['BIOCHIMICA  --  composto organico eterociclico, un chetone derivato dallo xantene utilizzato come insetticida specialmente contro afidi e zanzare e i cui derivati costituiscono il nucleo di alcuni pigmenti delle piante e di vari coloranti sintetici']","['xan', 'to', 'ne']",xantóne, /ksanˈtone/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantone100
xantopsia,"['MEDICINA  --  disturbo visivo nella percezione dei colori, riscontrabile in alcune intossicazioni, caratterizzato dalla visione gialla degli oggetti bianchi e dalla visione violetta degli oggetti scuri']","['xan', 'to', 'psi', 'a']",xantopsìa, /ksantopˈsia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantopsia100
xenia,"[""BOTANICA  --  fenomeno per cui l'avvenuta ibridazione fra due varietà di una specie vegetale si manifesta già nell'albume o nei semi della pianta madre""]","['xe', 'ni', 'a']",xenìa, /kseˈnia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenia100
xeno,"[""CHIMICA  --  elemento chimico del gruppo dei gas nobili (numero atomico: 54, peso atomico: 131,29, simbolo Xe e anticamente X), un gas inodore, incolore, di scarsa reattività, dotato di elevata inerzia chimica, presente in percentuali minime nell'atmosfera, usato per lampade a fluorescenza e in tecniche di laboratorio fari allo xeno"", 'ORNITOLOGIA  --  uccello del genere Xeno', 'ORNITOLOGIA  --  (con iniziale maiuscola) in alcune classificazioni: genere di uccelli della famiglia degli Scolopacidi', 'primo e secondo elemento di composti, specialmente della terminologia scientifica, derivati dal greco o formati modernamente, col significato di straniero, estraneo; è usata anche la variante seno– e -sseno troglòxeno | piròsseno | xenartri | xenobio | xenobiosi | xenoblasti | xenodochio | xenofobia | xenofobo | xenogamia | xenoglossia | xenopo | xenopterigi']","['xe', 'no']",xèno, /ˈksɛno/,"['sostantivo maschile', 'sostantivo maschile', 'sostantivo maschile', 'prefisso e suffisso']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xeno100
xenobio,"[""BIOLOGIA ECOLOGIA  --   organismo che si trova eccezionalmente, per cause accidentali o per migrazione, in un ambiente o in un'associazione animale o vegetale a cui è normalmente estraneo; xenobionte""]","['xe', 'no', 'bio']",xenòbio, /kseˈnɔbjo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenobio100
xenobiosi,"['BIOLOGIA  --  rapporto di coabitazione, convivenza e di ospitalità fra animali di specie diverse, per cui un organismo animale risulta adattato a vivere nel rifugio o nel nido di un altro organismo di regola sistematicamente affine']","['xe', 'no', 'bi', 'o', 'si']",xenobiòsi, /ksenobiˈɔzi/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenobiosi100
xenobiotico,['BIOLOGIA  --  di sostanza: privo di valore nutritivo ed estraneo alla normale alimentazione e al metabolismo degli organismi viventi sostanza xenobiotica'],"['xe', 'no', 'bi', 'o', 'ti', 'co']",xenobiòtico, /ksenobiˈɔtiko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenobiotico100
xenodollaro,['FINANZA  --  dollaro USA depositato presso banche estere'],"['xe', 'no', 'dol', 'la', 'ro']",xenodòllaro," /,ksɛnoˈdɔllaro/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenodollaro100
xenoecologia,"[""ECOLOGIA  --  ramo dell'ecologia che studia le condizioni ambientali dello spazio extraterrestre e le possibilità che l'uomo ha di adattarvisi""]","['xe', 'no', 'e', 'co', 'lo', 'gi', 'a']",xenoecologìa," /,ksɛnoekoloˈʤia/",['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenoecologia100
xenoecologico,"['ECOLOGIA  --  relativo alla xenoecologia, che riguarda lo spazio extraterrestre considerato come ambiente']","['xe', 'no', 'e', 'co', 'lo', 'gi', 'co']",xenoecològico," /,ksɛnoekoˈlɔʤiko/",['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenoecologico100
xenoecologo,"['ECOLOGIA  --  esperto, studioso di xenoecologia']","['xe', 'no', 'e', 'co', 'lo', 'go']",xenoecòlogo," /,ksɛnoeˈkɔlogo/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenoecologo100
xenofilia,"['lo stesso, ma meno comune, che esterofilia', ""BIOLOGIA  --  tendenza o capacità di un organismo a insediarsi e a vivere nell'habitat di animali di mole maggiore""]","['xe', 'no', 'fi', 'li', 'a']",xenofilìa, /ksenofiˈlia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenofilia100
xenofilo,"['BIOLOGIA  --  detto di animale: caratterizzato da xenofilia, che vive in xenobiosi', 'che, o chi, dimostra xenofilia; che, chi preferisce tutto ciò che è straniero; esterofilo gusti xenofili | atteggiamento xenofilo']","['xe', 'no', 'fi', 'lo']",xenòfilo, /kseˈnɔfilo/,"['aggettivo', 'aggettivo e sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenofilo100
xenofobia,"[""ostilità pregiudiziale, sistematica e indiscriminata nei confronti degli stranieri e di tutto ciò che proviene dall'estero"", ""BIOLOGIA PER ESTENSIONE  --   in etologia: l'avversione di popolazioni animali legate a un determinato territorio verso le popolazioni esterne""]","['xe', 'no', 'fo', 'bi', 'a']",xenofobìa, /ksenofoˈbia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenofobia100
xenofobico,['caratterizzato o ispirato da xenofobia comportamento xenofobico | una xenofobico avversione per le usanze straniere | scritto xenofobico | gesto xenofobico'],"['xe', 'no', 'fo', 'bi', 'co']",xenofòbico, /ksenoˈfɔbiko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenofobico100
xenofobo,"['che, chi nutre particolare avversione per gli stranieri e per tutto ciò che è straniero; caratterizzato da xenofobia pregiudizio xenofobo | politica xenofoba | leggi xenofobe | politico xenofobo | scritte xenofobe | popoli xenofobi | è uno xenofobo | atteggiamento xenofobo']","['xe', 'no', 'fo', 'bo']",xenòfobo, /kseˈnɔfobo/,['aggettivo e sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenofobo100
xenogamia,['BIOLOGIA  --  impollinazione incrociata tra fiori di due piante diverse di una stessa specie'],"['xe', 'no', 'ga', 'mi', 'a']",xenogamìa, /ksenogaˈmia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenogamia100
xenoglossia,"[""PARAPSICOLOGIA  --  fenomeno medianico consistente nell'esprimersi, in particolari circostanze, in una o più lingue a lui sconosciute in condizioni normali""]","['xe', 'no', 'glos', 'si', 'a']",xenoglossìa, /ksenoglosˈsia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenoglossia100
xenolite,"['PETROGRAFIA  --  lo stesso, ma meno comune, che incluso enallogeno', 'MINERALOGIA  --  varietà incerta di sillimanite']","['xe', 'no', 'li', 'te']",xenolìte, /ksenoˈlite/,['sostantivo femminile'],['incluso enallogeno'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenolite100
xenovaluta,['FINANZA  --  valuta depositata presso banche che operano al di fuori del paese di origine'],"['xe', 'no', 'va', 'lu', 'ta']",xenovalùta," /,ksɛnovaˈluta/",['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xenovaluta100
xeres,"['VOCE SPAGNOLA  --  lo stesso, ma meno comune, che sherry']","['xe', 'res']",xeres, /ˈkɛres/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xeres100
xero,"['ZOOLOGIA  --  ogni roditore del genere Xero', ""ZOOLOGIA  --  (con iniziale maiuscola) genere di roditori della famiglia degli Sciuridi, diffusi nelle savane e nelle steppe dell'Africa, con abitudini terricole, comunemente detti sabere"", 'primo elemento di composti, specialmente della terminologia scientifica, derivati dal greco o formati modernamente, col significato di secco, asciutto']","['xe', 'ro']",xèro, /ˈksɛro/,"['sostantivo maschile', 'sostantivo maschile', 'prefisso']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xero100
xerobio,"['BIOLOGIA  --  detto di organismo: che vive in ambienti aridi, desertici fauna xerobia | flora xerobia | vegetazione xerobia', 'ECOLOGIA  --  ambiente caratterizzato da grande scarsità di acqua, pressoché permanente, e grande aridità del terreno']","['xe', 'ro', 'bio']",xeròbio, /kseˈrɔbjo/,"['aggettivo', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerobio100
xerocopia,"['TECNOLOGIA  --  copia di documento, stampato, manoscritto, disegno e simili, eseguita con il procedimento della xerografia']","['xe', 'ro', 'co', 'pia']",xerocòpia," /,ksɛroˈkɔpja/",['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerocopia100
xerocopiare,['TIPOGRAFIA  --  riprodurre mediante xerografia xerocopiare un documento | xerocopiare un disegno'],"['xe', 'ro', 'co', 'pia', 're']",xerocopiàre," /,ksɛrokoˈpjare/",['verbo transitivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerocopiare100
xerocopiato,['participio passato di xerocopiare nei significati del verbo'],"['xe', 'ro', 'co', 'pia', 'to']",xerocopiàto," /,ksɛrokoˈpjato/",['participio passato e aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerocopiato100
xerocopiatrice,['TECNOLOGIA  --  macchina per eseguire xerocopie'],"['xe', 'ro', 'co', 'pia', 'tri', 'ce']",xerocopiatrìce," /,ksɛrokopjaˈtriʧe/",['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerocopiatrice100
xeroderma,"['MEDICINA  --  lo stesso, ma meno comune, che xerodermia xeroderma pigmentoso']","['xe', 'ro', 'der', 'ma']",xerodèrma," /,ksɛroˈdɛrma/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xeroderma100
xerodermia,"['MEDICINA  --  affezione cutanea in cui la pelle si presenta dura e secca con fine desquamazione in forma pitiriasica diffusa, probabilmente per deficienza di vitamina A']","['xe', 'ro', 'der', 'mi', 'a']",xerodermìa," /,ksɛroderˈmia/",['sostantivo femminile'],"['xeroderma pigmentoso, o di Kaposi']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerodermia100
xerofila,['lo stesso che xerofita'],"['xe', 'ro', 'fi', 'la']",xeròfila, /kseˈrɔfila/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerofila100
xerofita,['BOTANICA  --  pianta che presenta gli adattamenti necessari per attecchire e prosperare in regioni aride ed esposte a forte insolazione'],"['xe', 'ro', 'fi', 'ta']",xeròfita, /kseˈrɔfita/,['sostantivo femminile'],['pianta xerofita'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerofita100
xerofito,['BOTANICA  --  solo nella locuzione «pianta xerofita»'],"['xe', 'ro', 'fi', 'to']",xeròfito, /kseˈrɔfito/,['aggettivo'],['pianta xerofita'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerofito100
xeroftalmia,"['MEDICINA  --  lo stesso, ma meno comune, che xeroftalmo']","['xe', 'rof', 'tal', 'mi', 'a']",xeroftalmìa," /,ksɛroftalˈmia/",['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xeroftalmia100
xeroftalmico,"['MEDICINA  --  relativo allo xeroftalmo o xeroftalmia, dal punto di vista patologico e terapeutico congiuntivite xeroftalmica | vitamina antixeroftalmica | chiazze xeroftalmiche']","['xe', 'rof', 'tal', 'mi', 'co']",xeroftàlmico," /,ksɛrofˈtalmiko/",['aggettivo'],['vitamina antixeroftalmica'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xeroftalmico100
xeroftalmo,"[""MEDICINA  --  cheratinizzazione dell'epitelio congiuntivale per cui la cornea e la congiuntiva diventano secche e grinzose; xeroftalmia""]","['xe', 'rof', 'tal', 'mo']",xeroftàlmo, /kserofˈtalmo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xeroftalmo100
xerografia,"[""TIPOGRAFIA  --  procedimento di stampa a secco, effettuato mediante macchine che utilizzano l'elettricità statica, impiegato specialmente per la riproduzione di documenti o di testi in un numero limitato di copie su carta speciale""]","['xe', 'ro', 'gra', 'fi', 'a']",xerografìa, /kserograˈfia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerografia100
xerografico,['TIPOGRAFIA  --  relativo alla xerografia od ottenuto mediante xerografia copia xerografica | procedimento xerografico | apparecchio xerografico | riproduttore xerografico'],"['xe', 'ro', 'gra', 'fi', 'co']",xerogràfico, /kseroˈgrafiko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerografico100
xeroradiografia,"['TECNOLOGIA MEDICINA  --   procedimento radiografico che consente di ottenere radiogrammi di tipo xerografico, impiegato nella tecnologia dei metalli e, in medicina, nella diagnosi precoce dei tumori alla mammella', 'TECNOLOGIA MEDICINA  --   ogni immagine ottenuta con tale procedimento']","['xe', 'ro', 'ra', 'dio', 'gra', 'fi', 'a']",xeroradiografìa," /,ksɛroradjograˈfia/",['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xeroradiografia100
xeroradiografico,"['MEDICINA  --  relativo alla xeroradiografia', 'MEDICINA  --  ottenuto mediante xeroradiografia']","['xe', 'ro', 'ra', 'dio', 'gra', 'fi', 'co']",xeroradiogràfico," /,ksɛroradjoˈgrafiko/",['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xeroradiografico100
xeroradiogramma,['MEDICINA  --  radiogramma ottenuto mediante xeroradiografia'],"['xe', 'ro', 'ra', 'dio', 'gram', 'ma']",xeroradiogràmma," /,ksɛroradjoˈgramma/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xeroradiogramma100
xerosfera,"['ECOLOGIA  --  ambiente climatico tipico delle regioni desertiche, caratterizzato dalla quasi totale assenza di precipitazioni atmosferiche']","['xe', 'ro', 'sfe', 'ra']",xerosfèra," /,ksɛrosˈfɛra/",['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerosfera100
xerosi,"['MEDICINA  --  stato di secchezza di una superficie del corpo, specialmente di una mucosa', ""MEDICINA  --  malattia degenerativa delle congiuntive la cui superficie diviene secca e biancastra per la trasformazione dell'epitelio congiuntivale in epitelio piatto cheratinizzato""]","['xe', 'ro', 'si']",xeròsi, /kseˈrɔzi/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerosi100
xeroterma,['BOTANICA  --  pianta xeroterma'],"['xe', 'ro', 'ter', 'ma']",xerotèrma, /kseroˈtɛrma/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xeroterma100
xerotermo,"['BOTANICA  --  detto di organismo vegetale: che è adatto a vivere in regioni con scarse precipitazioni, con temperatura media elevata e ampia escursione termica', 'METEOROLOGIA  --  detto di clima: prevalentemente secco']","['xe', 'ro', 'ter', 'mo']",xerotèrmo, /kseroˈtɛrmo/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerotermo100
xerotipia,"['TIPOGRAFIA  --  lo stesso, ma meno comune, che xerografia']","['xe', 'ro', 'ti', 'pi', 'a']",xerotipìa, /kserotiˈpia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerotipia100
xerotipico,"['TIPOGRAFIA  --  lo stesso, ma meno comune, che xerografico']","['xe', 'ro', 'ti', 'pi', 'co']",xerotìpico, /kseroˈtipiko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xerotipico100
xi,"[""variante meno comune di csi, il nome della quattordicesima lettera dell'alfabeto greco""]",['xi'],xi, /ˈksi/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xi100
xifoide,"['ANATOMIA  --  a forma di spada', 'ANATOMIA  --  forma abbreviata di «apofisi xifoide»']","['xi', 'foi', 'de']",xifòide, /ksiˈfɔjde/,"['aggettivo', 'sostantivo maschile e femminile']","['processo xifoideo, appendice xifoide', '(appendice) xifoide', '(appendice) xifoide']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xifoide100
xifoideo,"['ANATOMIA  --  lo stesso, ma meno comune, che xifoide']","['xi', 'foi', 'de', 'o']",xifoidèo, /ksifojˈdɛo/,['aggettivo'],"['processo xifoideo, appendice xifoide']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xifoideo100
xilano,"['BIOCHIMICA  --  emicellulosa, polimero dello xilosio, presente nei tessuti lignificati e negli involucri dei semi di molti vegetali, capace di dare per idrolisi xilosio e utilizzata per la produzione di furfurolo, nel quale gli xilani si trasformano per trattamento con acido cloridrico', 'PETROGRAFIA  --  nel carbon fossile: forma sotto cui si possono trovare i tessuti legnosi, di colore brillante e struttura cellulare del tessuto legnoso ancora visibile al microscopio']","['xi', 'la', 'no']",xilàno, /ksiˈlano/,"['sostantivo maschile', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilano100
xilema,"[""BOTANICA  --  nelle piante caratterizzate da tessuto vascolare: la parte legnosa dei fasci conduttori attraverso la quale si effettua il trasporto dell'acqua e delle sostanze che in essa sono contenute""]","['xi', 'le', 'ma']",xilèma, /ksiˈlɛma/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilema100
xilematico,['BOTANICA  --  relativo o appartenente allo xilema; legnoso tessuto xilematico | cellule xilematiche | parenchima xilematico'],"['xi', 'le', 'ma', 'ti', 'co']",xilemàtico, /ksileˈmatiko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilematico100
xilene,"['CHIMICA  --  idrocarburo aromatico derivato del benzene per sostituzione di due atomi di idrogeno con due gruppi alchilici, in cui i due gruppi metile occupano le posizioni orto, meta e para, presente nel catrame di carbon fossile e usato come solvente, come antidetonante e nella produzione di materie plastiche']","['xi', 'le', 'ne']",xilène, /ksiˈlɛne/,['sostantivo maschile'],"[""muschio d'ambretta muschio chetonico muschio xilene""]",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilene100
xilo,"['primo e secondo elemento di composti, specialmente della terminologia scientifica, derivati dal greco o formati modernamente, col significato di legno']","['xi', 'lo', '']","xìlo–, –xìlo", /ˈksilo/,['prefisso e suffisso'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilo100
xilofago,"['BIOLOGIA  --  detto di animale, che si nutre di legno, vivo o morto i tarli sono xilofagi | le termiti sono xilofaghe']","['xi', 'lo', 'fa', 'go']",xilòfago, /ksiˈlɔfago/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilofago100
xilofonista,['MUSICA  --  chi suona lo xilofono'],"['xi', 'lo', 'fo', 'ni', 'sta']",xilofonìsta, /ksilofoˈnista/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilofonista100
xilofono,"['MUSICA  --  strumento musicale a percussione, costituito da una serie di tavolette di legno o di bambù, di varia lunghezza, ciascuna delle quali riproduce un suono diverso, disposte in scala che si percuotono con appositi mazzuoli di legni']","['xi', 'lo', 'fo', 'no']",xilòfono, /ksiˈlɔfono/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilofono100
xilografia,"[""ARTE TIPOGRAFIA  --   tecnica di incisione, di origine molto antica, usato sia per scritti sia per disegni, che impiega matrici di legno duro su cui viene intagliata l'immagine desiderata con sgorbie, coltellini ecc., per riprodurla a stampa su carta, stoffa, pelle, ecc."", 'ARTE TIPOGRAFIA  --   la matrice stessa incisa nel legno', 'ARTE TIPOGRAFIA  --   la stampa realizzata con tale procedimento una xilografia cinquecentesca']","['xi', 'lo', 'gra', 'fi', 'a']",xilografìa, /ksilograˈfia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilografia100
xilografico,['ARTE TIPOGRAFIA  --   relativo alla xilografia; ottenuto per mezzo di xilografia procedimento xilografico | tecnica xilografica | libri xilografici | opera xilografica'],"['xi', 'lo', 'gra', 'fi', 'co']",xilogràfico, /ksiloˈgrafiko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilografico100
xilografo,['TIPOGRAFIA  --  chi esegue xilografie; incisore in legno'],"['xi', 'lo', 'gra', 'fo']",xilògrafo, /ksiˈlɔgrafo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilografo100
xilolite,"[""MINERALOGIA  --  minerale di natura incerta che si può considerare una varietà alterata d'actinolite"", 'FALEGNAMERIA  --  sorta di legno artificiale preparato con segatura di legno, polvere di sughero, carta, paglia, cascami vegetali e materiali inerti ecc., compressi con un adesivo; è usato come materiale isolante o per rivestimenti o per pavimentazioni']","['xi', 'lo', 'li', 'te']",xilolìte, /ksiloˈlite/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilolite100
xilologia,"['studio dei legnami, dal punto di vista botanico e tecnologico, considerati nella loro struttura e nelle loro applicazioni']","['xi', 'lo', 'lo', 'gi', 'a']",xilologìa, /ksiloloˈʤia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xilologia100
