parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
yankee,"['nel codice alfabetico internazionale, è la parola che identifica convenzionalmente la lettera Y', 'STORIA  --  in origine: appellativo dato dagli Inglesi agli abitanti della Nuova Inghilterra di origine anglosassone', 'STORIA  --  soprannome con il quale i soldati inglesi chiamavano gli Americani durante la rivoluzione americana', 'STORIA  --  appellativo con cui i sudisti indicavano i nordisti durante la guerra di secessione americana (1861–65)', 'PER ESTENSIONE  --  (per lo più in senso scherzoso o spregiativo) americano del nord, statunitense, soprattutto se di origine anglosassone (anche in funzione appositiva) abitudini yankee | moda yankee | vestito così sembri proprio uno yankee! | usanze yankee | accento yankee', ""MARINERIA  --  particolare tipo di fiocco, detto anche uccellina, che fa parte dell'attrezzatura delle imbarcazioni a vela da diporto e da regata, inferito allo strallo prodiero nell'attrezzatura con due fiocchi, caratterizzata dalla bugna molto alta sulla coperta""]","['yan', 'kee']",yankee, /ˈjɛnki/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yankee100
yard,"['METROLOGIA  --  unità di misura di lunghezza anglosassone equivalente a 0,914 m; è spesso adattato in iarda; simbolo Yd']",['yard'],yard, /ˈjard/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yard100
yawl,"['MARINERIA VOCE INGLESE  --   piccolo bastimento a vela, da carico, diffuso nel Mare del Nord', ""MARINERIA VOCE INGLESE  --   imbarcazione a vela da crociera e da regata, con attrezzatura simile al ketch, ma con l'alberetto di mezzanella posto a poppavia del timone; è poco usato l'adattamento italiano iolla""]",['yawl'],yawl, /ˈjɔl/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yawl100
ye-ye,"[""MUSICA VOCE FRANCESE  --   genere di musica leggera e stile interpretativo di canzoni, ispirato al rock and roll e al twist angloamericano, di moda nella prima metà degli anni Sessanta, così detto dal tipico intercalare ritmico usato dai cantanti dell'epoca"", 'DANZA  --  ballo libero, piuttosto movimentato al ritmo di tale genere musicale', 'PER ESTENSIONE  --  moda anticonformistica diffusa fra i giovani in quel periodo', 'VOCE FRANCESE  --  detto di atteggiamento, stile di vita, abbigliamento, caratteristico dei cantanti e degli appassionati di tale genere musicale una ragazza yé–yé | canzone yé–yé | moda yé–yé | vestito yé–yé', 'intercalare caratteristico di tale genere di musica leggera']","['ye-ye', '']","yé–yé, yéyé"," /jɛˈjɛ/, /jeˈje/","['sostantivo maschile', 'aggettivo', 'interiezione']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ye-ye100
yearling,['EQUITAZIONE VOCE INGLESE  --   puledro da corsa di un anno di età'],"['year', 'ling']",yearling, /ˈjɛrling/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yearling100
yemenita,"[""dello Yemen, sia della repubblica Araba dello Yemen, sia della Repubblica Democratica Popolare dello Yemen la popolazione yemenita | l'economia yemenita"", 'nativo o abitante dello Yemen, sia della repubblica Araba dello Yemen, sia della Repubblica Democratica Popolare dello Yemen']","['ye', 'me', 'nita']",yemenìta, /jemeˈnita/,"['aggettivo', 'sostantivo maschile e femminile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yemenita100
yen,['MONETE  --  unità monetaria del Giappone; simbolo ¥'],['yen'],yèn, /ˈjɛn/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yen100
yes,['SCHERZOSO VOCE INGLESE  --   sì'],['yes'],yes, /ˈjɛs/,['avverbio'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yes100
yes-man,"['VOCE INGLESE  --  uomo servile e accomodante, sempre pronto a dire di sì ai capi con non richiesto entusiasmo, specialmente nella vita aziendale e politica; esecutore al seguito di un personaggio importante']",['yes-man'],"yes man, yes–man", /ˈjɛsmen/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yes-man100
yeti,"[""essere mostruoso e gigantesco, coperto di peli, che secondo una leggenda tibetana vivrebbe fra le nevi sulle montagne dell'Himalaya; è detto anche abominevole uomo delle nevi""]","['ye', 'ti']",yèti, /ˈjɛti/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yeti100
yiddish,"[""LINGUISTICA  --  lingua parlata dalle comunità degli ebrei ashkenaziti, stanziati nell'Europa centrale e orientale e di quelli di qui emigrati negli USA, costituita da un dialetto tedesco con elementi ebraici e aramaici e altri neolatini e slavi e neolatini, è scritta in caratteri ebraici e possiede una ricca produzione letteraria (anche in funzione appositiva) lingua yiddish | letteratura yiddish | danze yiddish | cultura yiddish | tradizione letteraria yiddish""]","['yid', 'dish']",yiddish, /ˈiddiʃ/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yiddish100
yin,"[""FILOSOFIA VOCE CINESE  --   nella filosofia cinese tradizionale, specialmente nel taoismo: il principio passivo, negativo e femminile dell'universo, complementare allo yang e con esso fondamento di tutto ciò che esiste (anche in funzione appositiva)""]",['yin'],yin, /ˈjin/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yin100
yo-yo,"['GIOCHI  --  giocattolo costituito da due dischi di legno o di plastica, con diametro per lo più di circa 5 cm, uniti al centro da un piccolo elemento intorno al quale si avvolge e si svolge alternativamente una cordicella che si tiene in mano per una estremità, così che lasciando cadere il dischetto questo per inerzia risale']",['yo-yo'],yò–yò, /joˈjɔ/,['sostantivo maschile'],['effetto yo–yo'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yo-yo100
yoga,"[""pratica ascetica indiana che costituisce un vero e proprio sistema filosofico dell'induismo e viene praticato anche dal jainismo e dal buddismo e che mira a liberare progressivamente l'individuo dai vincoli materiali a condurre lo spirito alla concentrazione, alla preghiera contemplativa e all'unione con l'Assoluto attraverso il controllo di sé, la meditazione e la concentrazione"", ""PER ESTENSIONE  --  insieme di esercizi respiratori e ginnici ispirati a tale pratica, impiegati in ambito sportivo e terapeutico partecipare a un corso di yoga | fare un po' di yoga"", 'che concerne lo yoga pratiche yoga | posizione yoga | tecniche yoga | esercizi yoga']","['yo', 'ga']",yòga, /ˈjɔga/,"['sostantivo maschile', 'aggettivo']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yoga100
yoghi,['variante grafica di yogi'],"['yo', 'ghi']",yoghi, /ˈjɔgi/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yoghi100
yogico,"['relativo allo yoga, proprio dello yoga posizione yogica']","['yo', 'gi', 'co']",yògico, /ˈjɔʤiko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yogico100
yogin,['variante meno comune di yogi'],"['yo', 'gin']",yògin, /ˈjɔgin/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yogin100
yogurt,"[""ALIMENTAZIONE  --  alimento di sapore acidulo, a base di latte coagulato per l'azione di particolari bacilli lattici, dotato di proprietà disintossicanti e digestive, commercializzato anche con l'aggiunta di frutta, cereali, cioccolato ecc.; è usato come depurativo nei casi di intossicazioni intestinali e disturbi della digestione yogurt alla fragola | yogurt ai cereali | yogurt intero | yogurt alla banana""]","['yo', 'gurt']",yògurt, /ˈjɔgurt/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yogurt100
yogurtiera,"['ALIMENTAZIONE  --  elettrodomestico per la preparazione casalinga dello yogurt dal latte, usando fermenti vivi']","['yo', 'gur', 'tie', 'ra']",yogurtièra, /jogurˈtjɛra/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yogurtiera100
yokohama,"['ZOOTECNIA  --  razza di polli originaria del Giappone, dalla coda lunga e cresta tripla razza yokohama', 'ZOOTECNIA PER ESTENSIONE  --   ogni pollo di tale razza']","['yo', 'ko', 'ha', 'ma']",yokohàma, /jokoˈama/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yokohama100
yole,"['MARINERIA  --  sulle navi mercantili: piccola imbarcazione di servizio a remi leggera, sottile e veloce destinata al servizio degli ufficiali', ""SPORT  --  nel canottaggio: imbarcazione lunga e sottile a 2, 4 o 8 vogatori con o senza timoniere, con sedili scorrevoli e con scalmiere ricavate nell'orlo dei fianchi""]","['yo', 'le']",yòle, /ˈjɔle/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yole100
yorkshire,"['CINOFILIA VOCE INGLESE  --   forma abbreviata di «yorkshire terrier»', 'ZOOTECNIA  --  razza suina inglese molto pregiata, a mantello bianco; anche in funzione appositiva razza yorkshire', 'ZOOTECNIA PER ESTENSIONE  --   ogni suino di tale razza']","['york', 'shi', 're']",yorkshire," /jorkˈʃajr/, /ˈjɔrkʃajr/","['sostantivo maschile e femminile', 'sostantivo femminile', 'sostantivo maschile e femminile']","['yorkshire terrier', 'yorkshire terrier']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yorkshire100
yoruba,"['ETNOLOGIA  --  che, chi appartiene agli Yoruba, una popolazione della Nigeria sudoccidentale, tradizionalmente organizzati in città–stato, ciascuna retta da un re; politeisti sul piano religioso, con un pantheon che ha al suo vertice una divinità somma cui sottostanno numerose divinità minori, onorate con sacrifici cruenti di animali', 'LINGUISTICA  --  lingua del gruppo sudanese parlata da tale popolazione, appartiene a un gruppo delle lingue sudanesi']","['yo', 'ru', 'ba']",yorùba, /joˈruba/,"['agg. e s. maschile e femminile', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yoruba100
yprite,"['CHIMICA  --  variante grafica, meno comune, di iprite']","['y', 'pri', 'te']",yprìte, /iˈprite/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yprite100
ypsilon,['variante grafica di ipsilon'],"['y', 'psi', 'lon']",ýpsilon, /ˈipsilon/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ypsilon100
yttrio,['CHIMICA  --  variante grafica di ittrio'],"['yt', 'trio']",ýttrio, /ˈittrjo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yttrio100
yucca,"[""BOTANICA  --  altro nome comune di una pianta arborea della famiglia delle Liliacee (Yucca gloriosa), diffusa nell'America settentrionale, con fusto legnoso, con tronco alto, foglie lineari assai coriacee, in genere spinose all'apice, fiori penduli disposti a pannocchia una magnifica giardiniera, presso il terrazzino, sfoggiava il lusso delle ricurve foglie delle yucche e dei bei fiori di veronica [Capuana]"", 'BOTANICA  --  ogni pianta del genere Yucca', ""BOTANICA  --  (con iniziale maiuscola) genere di piante della famiglia delle Liliacee, del Messico e dell'America centrale, con tronco alto da uno a più metri, foglie coriacee, spesso spinose all'apice, e fiori in pannocchie di colore giallo-chiaro o violaceo; da alcune specie si ricava una fibra usata per fabbricare corde, stuoie e simili""]","['yuc', 'ca']",yùcca, /ˈjukka/,"['sostantivo femminile', 'sostantivo femminile', 'sostantivo femminile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yucca100
yuppismo,"['SPREGIATIVO  --  il fenomeno degli yuppies, la concezione della vita e il comportamento pratico degli yuppies', '(specialmente scherzoso o spregiativo) atteggiamento, comportamento da yuppie']","['yup', 'pi', 'smo']",yuppìsmo, /jupˈpizmo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yuppismo100
yuppy,['VOCE INGLESE  --  lo stesso che yuppie'],"['yup', 'py']",yuppy, /ˈjuppi/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yuppy100
yurta,"['variante grafica, meno comune, di iurta']","['yur', 'ta']",yurta, /ˈjurta/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yurta100
